Site,Path.Type,Transect,Distance,Orders,Diptera,Hemiptera,Ixodida,Hymenoptera,Araneae,Coleoptera,Thysanoptera,Zoraptera,Embioptera,Dermaptera,Orthoptera,Neuroptera,Polyxenida,Stylommatophora,Haplotaxida,Abundance
D,Gravel,1,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
D,Gravel,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
D,Gravel,2,3,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5
D,Gravel,2,7,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
D,Gravel,2,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
D,Gravel,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
D,Gravel,3,3,5,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,7
D,Gravel,3,7,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
D,Gravel,3,15,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3
E,Footpath,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E,Footpath,1,3,4,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,6
E,Footpath,1,7,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6
E,Footpath,1,15,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6
E,Footpath,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
E,Footpath,2,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5
E,Footpath,2,7,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
E,Footpath,2,15,4,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,6
E,Footpath,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
E,Footpath,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7
E,Footpath,3,7,4,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,8
E,Footpath,3,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
